title,price,link,discount,saled
Sữa rửa mặt Simple giúp da sạch thoáng & không chứa xà phòng 150ml [CHÍNH HÃNG ĐỘC QUYỀN],95.000₫,https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,28%,Đã bán 5k+
Combo 2 Sữa rửa mặt Simple giúp da sạch thoáng 150mlx2,198.000₫,https://tka.tiki.vn/pixel/pixel?data=_prfL2-ILvxMPPQchTZrYHjas1I0zicTMJbSijt4mm95luhRRUs1AKbeIIWTbxeHaWg7FabtQXYuLUyZ3RxgtCgxhoqvwnV-s_NLMQlVt0zmWNizzJckeiyrHzuwWl3sibD3KzymTR629QEp_3kcOZlQNazxfkT7saVF26SdwwCNVPVOOmt9qs2Zjxnto0Ic2ST2-GyYQz-3SrTqfuQ7dJ4Xxbri0Btvox8mzZ1KmWSkgyMRwi9N7gMmGEed5r80JGyKSQ8QGQ-DSfDelDLPFVBPboX5LmlmxalX3JXrcfOQpJGh5VjlyYFbC0yNNVIgOtpZD8jQRvKxB7PxOVTlhlADDHbrpJEmw4GZ6RGZBMOJ1eIU9q1pr2gWpKaBsytB6DqUbe3-WrC1cFIv1gHllV1jwtIXhSwZuSukNfbP7z-EyaVntOVceOqcD6VFwcD_6hbg8zTD4pse3WAfxPVJwI5FRR3y3XLZRusIEF0vhyZkFLgsMRT-FS3LjvTmYMmgj87Em2Z0dgb7Rvkn0RY2SjwsehbfmygKtrI2LLQSFpTit0cAU4iThqt06SjDckfo9u3fG0dSgSCvkl7B_S7BAYUkwBeAU0YKzbbkqXxXnyxSi0vor-SUw1G0wkXUKnT_WdnYK7lfx01i3fUv22NTmmeBdO1QpjZuOXwRORsit0uC-r-WkJWlZJI1QTq0YQJWqjbZV-vKec3ZCk-e3umW92tt-Gb4ihIUvtXG_E8bQ_y6zHn5lkNcEzNnPoGgtwVZnXNQeOwWYu-TKO107yBJKEz6k6-4Y8gGn1MIVPxqmFW6BwwMu7KFuvHeNLjKTXHpir7O_ac_d6waxO3yZgus5J0Iy596RmahILE-qs1EGQwAICwvAqt4gaK2ZZOSPNcivZ6eUHuKTeQyQYON7iodTrRTKeYRbv96frKjTUhMFS9CUZv1YBbOOCWb3JyPXikdNKC1I5Iwi6M7mLTQjxJTXmt3rrn3zojb0eK_7M2bXAaupSOANeo8SpGC59O6P6Xv-eIpxSlBawhHT-ojExJB80l-vjPaCknRkK6cgD1LQ01iJ-s1hKn1vnDCfOp0IN1PVRdixNwvsMfb2dawLmWN_f2wo3ExU1wzQsJ0NlXQEIzn3JwHm0DdK_ZLL1uyzljuUln3bqzD7AEcyaLBGn7pmjQ&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=2,25%,Đã bán 5k+
Xịt khoáng Alba Skin Care chống lão hóa dưỡng ẩm dành cho da khô,212.000₫,https://tka.tiki.vn/pixel/pixel?data=ZU_80HdAkMX7g5l1C9Iir7dUce8QXF6J5-WuRibw3U9cquZhd4DlRbH1aBLiK_-uQESe1apDPoppMdRr5WoZn5cA3D6rgUZvpHNhTx2QOGu9GZdru-mlVLknxjjX2lgX9o9l0GcNbR1GsIK3y4XWsvwcZLHCeH5Ylko27puI9Z4j034LzEAzS67HhYBwUJwk_FJepcVmtZ_43zHD_o2ygGsidfHGiQB0u8i_9RLIVrSN7eBYrcTwGPxZs-rUDDVDK1imjBGTQJz1Dq7shVOuNoRvlSpMG7n4qv-JTIaPA4BD85CeNFPuY9iNaGuJEzsKVgz1yMFP01bssLTmZewxPOo42tpQPracz5f7bxyJ-hcVIvrh_ByaNG2gT0hIi4LCHpEm2CMpzTq2QihEZaLMrA6rmD0NdAmQIus3x2GWQK4hIBQSFEb1zhKECmF44QS31IPBlzk6mAQvooB5wScir1saFEkSDMhw2LfOtn5nzc0gCR6QMvaT1ZdkIzJPKLfF65VcAN06e23GX1JOsjfxVashRSdAkL_7IcdBhPVRFvMJCHVrvtlvwD4nQBPOFIdA_tVzz9hb9zpYYWH9fjU99jSsUy6Wqj60hbpKVtogcylNkDWC8Ul7VJpBEFKee15zhujfcpxJRkU6bFF1TnwZodL7zqYC2mN1rQYisx9jx4Nvw7TxRdW9a9bRu2X39KGkeXai8SLf_Auk7MHIMEIm8jUZbcYG0M0zc5SXS2wqiRjsiIaT_4mau4r5koxcdERn0rwAuGEgiu9Zx3pi02X4GNeJxsAfvVMEhCTvPlVdoeSinMAhAhwE4e8joCn3CsL_s1DRoJK7wFQnSRf73iA7lSz3jYNiQ2gAXLSoxEGOWB4B-3wb2qeAOjZeOszKBtaDOhXC81PwZ4ZAaY_uFiT1ExHNRX3qvC7B6qwYM4qhjnQgv7DL6dXiDR29wamYZzazbla0rROgqNpFeorf_isdaES_54OGyWvCrW4S8aNLFjddPU1P7HVDqFEry7g9oJF__9VWj10qCAt3OucHmtoMb0M1u5NwVhFY5YW78-5gJeHnMcMfGMxS3ML22ezU_VCJFx__JCAAFTQnBjDJiKKQDNqEeMcGYINJfp9WjHcBcECbfFY5W4CWwGhOfNxGn_FkGsqW1TlNmvbBW1MuykgRawzxEc23bJ03XhSkK3-eBzFR5X-zFH76C-KkgWTRz2m5MWh1ebHfg6QZM_aw7BwG3Tlbgn7qTAD5HTzO&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=3,8%,Đã bán 52
"Sữa rửa mặt Simple giúp cấp ẩm, da trông khỏe và mịn màng - cho da khô nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [MỚI]",95.000₫,https://tka.tiki.vn/pixel/pixel?data=ctzTR2UJ6QnxFsXrvVUQUV65tiLLHUTkgBR6mnSYl56ULDgFsAb1xLC3dce8ZARbIY9NovoH4wEMTxICxR4Rg06obZjyQfvmcqA5hdpwaF7ljM5QRaXzKAhwNTHrDVQHnm8qZ47D0gHkatj7M2ybXXEV7XcIvStXQMYEo3HxWViY3bu3S5EQu7BzDRHH5gLbgkxlCsmbpu7-ts4-mhjZa-ajVpRdy32iJhFOpq8oV_XDQ59lzLj6INORKGhH8_cIY0nsBNIzRJZiLBJhfGOoHnGwSqKneXDmM9s7Nlxz2UBiCmg3zFglqhJiNPdzi6HtbYjGp0QWHKgMQ_vVp7exibldSCUQRkhj7KT_xlnEnrRpOxqpJ5bBZsY7jhro-TqZhr6qO-KxyPrMCKwD_Wiue7IHRkXy2dGqHbHWGZ6E_yc2_Zird2V6I0jfAT7HMV_CFIkZX4q4DeM3J2hbN6Pu8WL3vHdlHt3uGVfVPI28NjZrZGvqyr72I3fVUp7boITSv7DH9VKW-7VJaYY4vvMukZiHpTEn0wDdwgc3QFRQaRwQtiX3DPZGzjdH6LDBQKA1Dy47lMba9z6Tbnj5iFF3E1w1lDD53BSfgxg26hHLds47mjwHagCxxS0tPvWcMZZrQecCM70oTWaSByHy_Es1XPX3IfTe-e0TD4k4sCPO2U8ciUMxS7h2VJCu520BpshImMJVUMEaB6EDRqnxhwdNY2cP_xQZdtVMSNn52gcTvv4S7ZcuvuERoLyTb0Mr-Jq9CqFK6rI5acR5Pw0pBASp_JpbtNtD7LhDWErCdE--9L6c8n0oNaL4_Z0pSc1_HQmV1a38EyZX3jhXFE8YCsNwFp2jtDWsA-tAMdghnJm7uvBl8wLn5uVN9F8Wk2vwX8yZ-Qv1wKDd6KS4uIC_LSMa9BTr5Zqi0xKix7IkNuKbm6ImbWBrLXsFetrwccjrhYftljmgW8WvbB_xcdFG0ZDobl5o9TRlR6rMjU3ZVKRqRMpvm2bNRNt4facqlHTlfidr42ED42wSs3mLbEqwPCR4a9QgJoaWCZ8Q0Wlsu0JOVOMlFOAZql5QDL6aOytAhXT7LMx1CcNoNwJprs1BEivfmia6xTiwSwCuajobI3QUMOnAAf5H16utgZ9hDyJuNuvZencUGVac9yyL-K_6ZaRoV1IipWcGfb2s2UBuDcJ7RMNN9ln0KAvgC-yJ8LRZyCTDOUwTSkAj6-1hnQ&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=4,28%,Đã bán 5k+
Bộ đôi Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo (Anessa Gold Milk 60ml + Gold Milk 20ml),700.000₫,https://tka.tiki.vn/pixel/pixel?data=r1uAaxvamhP5b8fW60hUfTQ743bJcmlDVVScWBgQ4V7RMLqVvR4wMlFMxfYpWvCnVfQ9ylIGhdzBnJzvMb6ayjCeZgKFJGBzws5Xl_n6Q7Y9DNk9Q5eIqjiGFz3H9ZkIL7EK8eJBG7be9Tc7NNGysz8J5l_t8zQT3jY4tfI-JJ9RncX7QB7pvlJhrWpnzOpxDcpAQhIFxZGaFymRbwtp3HOGPZifwqNpgcGCdScz8kHef1zL4vft-JfAeIOsryZlQtHDTBsvJRlITpxkld9u9CVrsIzYPAnAFoGJLOf7pYc_AFG0zCzQ4K_o-xvD6AynNsMM9AFme-kfenzkRJn4mXjn8hSRO-m7oxKVQ1jEavHVUVF13JcLwajBtCXTv_da2UidhJNV0KIuKPVFdntH5TNluURuXx5aOFaZWXla-ENNOpEM-0jwrqVXtr_Nwkip2B9Gb-HADIuIgAPQlLt1vYRTLhCuLBXJQczTW50YQ1iaXQcZyjYQQLLRgeMcjNbG87STtXJ65enswlchE2d327Uq0HU6OrfawROdhqINuAzt8RxDy24T7WyWTS2NK7Vu92IB5EHwy2-pduqDjOaeJwm09NjA-wMEPmTCJFKup3BrdTtTotVatdur-GxEj-DKQJOLC8Rw8AYi3T2qpajP6hageIq2MXGQZgAkAII-ejHLqLIOylVwrP41aM9n38PAtqjLwOSKOG5wTts8FDRTShzP2Z7Ia6L9Oi4ZBKOfHjF0wJExjtVodCHFGvPkPS_3sVQOVqISAxVw2SkH1lRnjb1au6K5xC4BOp34Pfv42CcO1Y7WeLuPC3OmF_-hXclGJRz8QAWukgO39IMbTaQhmmAYWIiLj3ISbOg9GudQxl-p99r5Arl7XjhkJWyHKqs8pKs-1LmX35v-3fEXyDNNWyzP6-aOwZdInD445FFCdZ51TEGNOcCNSuv5AxD27C9ueI7uUbL1Ifv4hk6tVI7lhYSh15KZ6C8oNpm9hlGkz4-ryA2gBYiw_gUl7ujT9NTBeOkoD-Ie_yO5vMYxbKS6aF_dvGyk9eQioPaJYJe-_VbcNZaMofvpBBuQ0hBgrPMNpS0yE6r2Nzg4WoPGaKoA25gQkeXtOR5ZXMLKbx1JnZLT83fCz4sVu_Wc5Lb9ZRsUJKvlhy-wCa_dvPXk0KMDDyfgztGOOFggdc7XELcyWHMvccKkFQWmS5xmktFqia9S8GW3sMYp&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=5,30%,Đã bán 641
[MUA 1 TẶNG 1] I LOVE MASK - MẶT NẠ DỪA SINH HỌC ( SET 10 MASK) - TẶNG 1 GEL RỬA MẶT,199.000₫,https://tiki.vn/luvis-i-love-mask-mat-na-dua-sinh-hoc-set-10-mask-p207013823.html?spid=207013824,%,
"Kẽm chấm mụn Compliment No Problem BHA giảm sưng, gom khô cồi mụn 30ml",85.000₫,https://tiki.vn/kem-cham-mun-compliment-no-problem-bha-giam-sung-gom-kho-coi-mun-30ml-p274077832.html?spid=274077833,%,
Kem Dưỡng Olay Luminous Sáng Da Mờ Thâm Nám Ban Đêm 50g,205.000₫,https://tiki.vn/kem-duong-olay-luminous-sang-da-mo-tham-nam-ban-dem-50g-p274077506.html?spid=37951710,24%,Đã bán 201
Kem dưỡng cân bằng sắc tố mạnh Obagi Retinol 1.0 (28g),350.000₫,https://tiki.vn/kem-duong-can-bang-sac-to-manh-obagi-retinol-1-0-28g-p274069450.html?spid=274069451,%,
Kem cân bằng sắc tố mạnh Obagi Retinol Cream 1.0 (khối lượng 28g),350.000₫,https://tiki.vn/kem-can-bang-sac-to-manh-obagi-retinol-cream-1-0-khoi-luong-28g-p274069549.html?spid=274069550,%,
