link,name,comment,num_review,num_thanks,date_attend,time_use
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Phạm Thị Hoàng Yến," tiki giao hàng siêu nhanh.đóng gói sp kỹ nhưng tới tay mình thì cái thùng nó méo mó thấy ớ.n.dùng xong thấy da mềm mịn thật, nhưng mn có bị nhớt nhớt lúc rửa mặt giống mình k, phải rửa nước lại hơi lâu... Xem thêm","Đã viết
12 Đánh giá","Đã nhận
4 Lượt cảm ơn",Đã tham gia 6 năm,Đánh giá vào 2 năm trướcĐã dùng 3 giờ
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Phan Văn Hoàng,chất lương k bt như nào nhưng ms nhận hàng thì thấy hàng khá giống mua ở siêu thị.....,"Đã viết
1 Đánh giá","Đã nhận
6 Lượt cảm ơn",Đã tham gia 5 năm,Đánh giá vào 2 năm trướcĐã dùng 6 giờ
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Hạt Đậu Thần Kỳ,"đóng gói hơi sơ sài. Mình dùng thử rồi cũng okela, ko có mùi.","Đã viết
1 Đánh giá","Đã nhận
0 Lượt cảm ơn",Đã tham gia 3 năm,Đánh giá vào 2 năm trướcĐã dùng 1 ngày
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Vi Ngôn LụC NgạN," Sữa rửa mặt này rất dịu nhẹ, phù hợp cho mọi loại da, nhưng chỉ dừng ở bước làm sạch bình thường thôi. Nếu ở môi trường nhiều bụi thì cần thêm tẩy trang nữa.
Giao hàng siêu nhanh dù mình đặt giao tiết... Xem thêm","Đã viết
11 Đánh giá","Đã nhận
4 Lượt cảm ơn",Đã tham gia 7 năm,Đánh giá vào 5 tháng trướcĐã dùng 13 phút
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Đặng Đình Chiểu,mua lần đầu dùng thử xem sao thấy quảng cáo dịu nhẹ hi vọng hợp với da của mình,"Đã viết
30 Đánh giá","Đã nhận
8 Lượt cảm ơn",Đã tham gia 7 năm,Đánh giá vào 2 năm trướcĐã dùng 4 phút
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Nguyễn Kiệt,tốt dành cho mấy bạn da mụn,"Đã viết
32 Đánh giá","Đã nhận
1 Lượt cảm ơn",Đã tham gia 3 năm,Đánh giá vào 2 năm trướcĐã dùng 5 ngày
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Nguyễn Xuân Mai, Mình đang dùng sữa rửa mặt nhà centaphil nhưng thấy e này đc nhắc đến khá nhiều về độ lành tính dịu nhẹ nên mình dùng thử. Khá bất ngờ khi e này ko có mùi hương sau khi rửa xong cũng không có hiện tượng... Xem thêm,"Đã viết
4 Đánh giá","Đã nhận
1 Lượt cảm ơn",Đã tham gia 3 năm,Đánh giá vào 1 năm trướcĐã dùng 3 giờ
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Nguyễn Thị Việt Trinh,"Srm Simple dùng rất thích, da mình không kén srm lắm. Hôm mình đặt 9.9 còn được tặng thêm chai toner khá to. Chất lượng sản phẩm toẹt dời luôn ạ. Vote 5 * plus cho tiki","Đã viết
61 Đánh giá","Đã nhận
10 Lượt cảm ơn",Đã tham gia 5 năm,Đánh giá vào 1 năm trướcĐã dùng 5 giờ
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Nguyễn Thương,Giao hàng nhanh. Đóng gói cẩn thận. Mình dùng mẫu cũ lâu rồi. Rất ổn cho da. Mẫu mới này không biết sao. Hi vọng chất lượng như nhau. Xin cảm ơn shop.,"Đã viết
96 Đánh giá","Đã nhận
3 Lượt cảm ơn",Đã tham gia 4 năm,Đánh giá vào 1 năm trướcĐã dùng 9 phút
https://tka.tiki.vn/pixel/pixel?data=aDdAa6xukkQseijeVI1FmALUbS5K4bVb0kEyO0vDazY3t0EvhcpbpEUUDhAhm-dPOztyFtP1xF-r44yeu0Pu9JcsanG8OsxgCOEklvkNrUsAr-MPdC0rX5KtoNvaykPOVpsBXYRYqqSbeeIadDJ2A7FyknfrDfXkVECqne8yVyxhMTODAjTN2rwHqlkGWEpYrzIxdjksgdtbi80GUiMWFrnQyulRHGGAs_RqocJKFZbtGuJpYZyDyDvqT2QW5aMN7rX9J7jeB5uYoL4ylJJ8J-GP5Sx8wnf6VUvlgEspn3WlY06-rvtMMn10u29ZSuVmrWkGNYGaWgrIsHY18ztmQrqgfpV-JeutjzaDOdgo5JwUfo3gexxriCuxmJtdUd54FAJ0R_sdvnE71DmFdrg1knBndXipcLyweMCfqYAtDLsG_ymqwTo8DVJTnuNh2FdJclBP9QjGMbWrMEk2REBLXGlC-qWfv0esM5HUR3gJ9AuSG8JwzZk2v2AT_6GvyDIgRYnur2rmVcHr2lkdER6gMWT0iDXk5gyX1fjaxB37MXltXokUVSk6w0Ocne_KOeYF5E0V7hHU1hkOmE2BtyIDWCd25fQNpenhkFAyj7q4LIfdkoo6SkOqMYcNkBgP6Wo9ZGVcMMP7FP5GVz-UmNYmrsuCmSGP5maEiVxCjrpoCD9E9h3lJP7gI3ZUKqwPl4ktZYIZ0yZr-pvq2Jb-Yh34GJp_jcYJtFJHFPIznumey32Q_JVW5NgRxj0IZOrF2SMGjCRI2imgX-IAT1lcX9hMLgG__7IhEsJlikmIW4xVGgsArjzIgQODWAJe5D29bahCayNPTczqKJzJSh_VWIPJpQ2sgt7PuzqJyKzyyjfzvShOPHuzymZ04mhsSVnr1IPjyv-VLE78C0WBEx6Wt3YYFzDyl0imQi9qB9wKtBH2tJti34W8ksWNxWJrHN1Li629vlRGxNwD4iGjw_5fAmBjO28nKdJWjq6nFT9_LyeXvx27N71SVekmm4WeEmO7MZzM1SqorayfZSUtwHb-LvAHBv23zQcg4VgqfDk_cwIVq_q6rUOkGaPCHWSIC3Up6E0bQ3clBQgMlonyd9fnVf7mWxjdE6-_kIUQdiVOzfAddu6cA_50aZcMFBcUp_SJB8IyBCXQ1CGr9pIP3H94uAuwKV2xgEQcgsfTwZRZ47-0D7c1XUZ7oGOAAA31j_vLig&reqid=6pIpIwefxcdTcALO&type=CLICK&pos=1,Kim Anh,"bọc hàng hơi sơ sài. mình sợ giao ra miền Bắc nó bọp ra mất, may k sao.","Đã viết
6 Đánh giá","Đã nhận
0 Lượt cảm ơn",Đã tham gia 2 năm,Đánh giá vào 2 năm trướcĐã dùng 2 ngày
