title,price,link,discount,saled,product_id
Sữa rửa mặt dưỡng ẩm da innisfree Green Tea Amino Cleansing Foam 150g,224000,https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,20%,Đã bán 4.5k,51
"Sữa chống nắng cho da dầu, mụn URIAGE HYSÉAC SPF50+ UVB+UVA FLUIDE 50ml",577500,https://tka.tiki.vn/pixel/pixel?data=ypP73v9wrK46OrIn4OVemOmlbc9540ESanqxlB8CuaZYZlX6UG-kiSHK9I9aTaP7jRsCyUWGsbD5ISA_Vkir5yhmd77c6iluAgUneDBwi3l73GeP9c1fL-4B9qWTqfdGVO1BWYIIED0Hk7pJRFv54jNOxieKjRFEivs35PF2ID4eQ8I4RQ3UA7pvXwsQjzOKPvDTCTiILZFdU6Iexkipfabr2tIMRSP1BGqa9Lg71t5xzaucoQm17O0tcOZ9fuNOU95WvGEvnfeQD7ZrzyCD66iPfhwXxpiVfSF2EkZqRvz9lN-EjIMZXUx86OdxzjT0wqoxfcRe_vB8GCbCSXX9nfDn1MXPo6lte-aH_X7u9zX4FO-TPqol8-m1V3A-cYYuJ42DsVXc5SjPFyQzhjeEZr0EeTljBSdilref6VnWQoRaMY1Jp_twQgb3flJWm7vMpA8HEkZiEHrBInJKQfz5YHSloImXjaL7DiuIrNEhby2aZXSAfhmcr1r7v84lTYVBEZm7BaN8-A_Ak1KxlPmEOcedv8E_UbunjlPzlklzA8Nl0-WYarJEQMa65C_1jxPVdEUU4jUJ6UAk037pik4PiF34E1oNibjqha4j1Spm1Htj0P5ANlPpLVQLO6TKVY7eU2gKj4qTeSmCz0zppHoweDXngybrheKNGYhu1ErpHXvSDUIywu5cAVVfKg0QVvpwzABJH35-0oa4jHHioxIUJpHTwvBznLiwo8x_8-um5RDWaZug3W8A-TfyRenWC44UxhxV6HxTUuFW0JcApTQcVPgKgkJUXlJNfLDbvMQe0UeBomlbCVZu22yTy-hFtYx63yM_dBDi_VuSGYUN8v_jOUKbkNF9rqdXIPD99lJTik4dPTj_nI3NJRcGfN8GUMgqBMya3gL4Vw56lSMvFIcHpjao5ORTqGi94-lVASRQuM5Rx93sudvT6p9ej6OWl8QE_DUbm9ePlPCHEgHbdO4_PU6detBFI5yrUDnThHYFfWSq7qRsollkv8q6gEtyRKwSqniZa1tMkrGGjf_F4WDrC9tU8zweXZYxf2ymvDJMEL8MYwNgrau6YCReDO1TbDrb8i0k2Wl1nzzWvvKt&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=2,0%,Đã bán 31,52
Kem chống nắng dưỡng ẩm & cải thiện nếp nhăn innisfree Hyaluron Moist Sunscreen Essence Texture SPF50+ PA++++ 50 mL,416000,https://tka.tiki.vn/pixel/pixel?data=VoxT-NbBlKf77wt5whFmiDJHKuR2600IPKSlDJgFHqh0VWNBhb7EIH-xVqrE_P5CVycIxryC3xltcF7PTnrD9hc5umfIutNl_30Lt4thHZ04tPXwWW6fOGpC3Zp3V39WqAnTjHBaHbxVQueOY6a8ozdshAlOO0w1JdSw6URfBzs1_o1Z8-xYZ6JCA9TbQHt63c6eQikCN_s49QX8Qjy5iC81k8uj31pEfFuL8q6jR3VuGoGfey_Uxc_2hM-ryK1D6OEr2vjFf5f_0akS4nbwxWR4TJLTqvEtXaW-hHKwW4cU0vRSfTB-IYi1fia0PqBghnd9W6ejNfYNaySN0J7-NQSLOby2zUnLzq-BcV4rdlzpWlUXtb86YrhJP6n8aWJ5RWPIhSeNVeR8POjwL0STd9tfPYylq6DgVnFwas1xjgjt9myexzeDPFAc6m3UIZbVBvjYUtAHgBzxU0k5IOuUGfihaVN0AyZZ0VWIvCe3P9Sp5WhyVvnZVe_97WitJqYIHV5M_ApZEIq94mavWrkwSQcF0LwkXwu68UpJ5uyeGvQcsAMDFUbKYAWKdi7XT81bRbNPMCGO1kZvaYOPsxSNmtJaMQCIh34LwdnX-fbvzbGjqePSROi0BdsTc89VPDALbiy-n524YdBaaLgh7zqAiuhbNEqUyS1r0DdKU4nIJjiRnlrYQQFSFkt5teBKCGQwav7TIM38LRPTz65vMCOrzAbzp57_Z2ve7L09TxZtCEHH9uA9ETcD9XgEewLLfPMUeopgIiPf866m_i09YOtDuOyBXeCIrQ-A_I5v2pJtJFpGgpmnovUbiHR8nY4X9bAW1d0J_lVf9bg5kPj6j7uYpni7y7ZQ9y9AcCgqMW_fnFnsnFr_TMxtEOMvDH95B07wZJ8gvAAsx3zz-I3HzgyHat0-7qlRf-NXdIhjRFVjJgIA5gtGqsveRdfArDy_Xq4gSopJ0nixgZu9ltaP3EliVb31d1_oJFHmUFbRQjAgqcWyTv0UZ5Gy6mlpl5Lll-MXhKjg19izqH7AeliXq6CQJgxjBReLtzMxiL5kiPziCvqZIOua7nLowTdpmcjzQKXuUMARK4R31uiwgjLdKMY8jMCHZ3YGy98FNXqAiqpio1fWsSA1leOqButIM4bXw8--Dx41r0Mrewrmv373DPwddl2iu7qmLYU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=3,20%,Đã bán 8,53
Set dưỡng ẩm Ohui Miracle Moisture 3 món Mini,250000,https://tka.tiki.vn/pixel/pixel?data=cZLo-GmBZ3sAIvZsFLZ7lBQ30KDbWQBbO9LRFPkOXxcfYVf_nXgIn06TxuaMIildQgjUL0JMy9FSk0jCWJjuNLFqEDtgztiS5vWi16WWc9mI87H9raeoD7PHeaKBlWi8amsOd57pM52g63eKmopLle6imbt7u7G0rAEjXvcfktXsOeHpE8bYwyg5V0PWW2dUKJ8boG-_P1VcINyKZiuLl76eQoCq8tBVRrHRN7bzr5DyNAzddYW50StJhGuAnEEmUQ4VUfbIKRTRLnmsPB8jNdmu73b5Nxsmev78Ij3-pSaD9E8AxrBJk2tqMY7VkFQD49f5Ps-IKe6ttFTFk4p2HP5YIsXsCAfcJ8bUpTaQkcG4PVKG5CNhkDe_uqqtrkv1Hg8_u5BfhENlstJDFPs6KQg2-moIasW0elxp6JWrzh8VfZ5Faa-MjkdJQsORaqZ7cNlGcqRU-BIHYi8u1hgewnITwWG-ZBjfGKlsRnLoCXIQrQg2UoH4ldatWqpQC0aMbLw-vuEoUQYWqG9dgisznC1kZYIU9Xe8MYB9Kudh8khl_fB6fTEyxnFKnlzQgJiQo5EZlQWAA-A14t1mSFXW9IJ4SGX5MHtPSlj95xXyG3SoVZPmvM7ZzLLcGJOa0qYLbA8AcRMnBVQ7gvnJDkULngwFkEBw1XCTJdRlbcZ0-9ytXIqr4ZkFGKRBrU5uvLcP8rE2VzpkFFxUGIz1sLC0p5RIn_u1bTOQytTO78twDgkqA3VLwgtoU-5KKnrjaMo5Y4_P7nr-6Pz6PCwOdZXnNUjOfrLtWw-SVPTtegjs2zW1WtOAWSRoUPAaEFw1XD17fRFrj6YkgErCRvOMxWjzrOuqYbUVTEUE_WXaLb_3JwtV3nsmLrMSKp1ebuI8_y9tU8q2voWucWV9vE7aeb_UGvijngF_jkQfXniGGjO4bKnAa-dySKQvx6Iy_aBtWFa1GzMHvU0SxalZmOmwFnQ6VOi-4IzVmcXz9QDSrzKkCUtWbiJbhq1lxmkHtdvLBrFX749UjxA33NQXnXYEudBdp0bikuVgzhSC3zEI2QiWY6FU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=4,0%,Đã bán 4,54
Sữa rửa mặt Simple giúp da sạch thoáng & không chứa xà phòng 150ml [CHÍNH HÃNG ĐỘC QUYỀN],99000,https://tka.tiki.vn/pixel/pixel?data=TjsYwIfknllS-ILewwy0u-nFCG7VkcEJiNBFvez6oosmSinbs80i9hoB-b5T-YxpTLWCtgxIZEYAM7cLKOv627iciprhTkoX6gZ95y7t84B9VYEHBXVsAWxXuD48JLBWFY0MSjpjxzrd66UIQ5WrbLgwK7_5OHaNKTUFtoKQC6fYXIAKlUIrvG4xEDcx8FSZqNiIODIio_CfCvUeDsMuEDUMJnnzA-vnaLNyyd-XbKHBNjH2bPrdJjFvQPu7XpWLdvWTCcnh1iTO6iL26ibZ-vWFPok3rgCClb6vdQ-U4fhw2FtTkrkybIvvFHwKgYi_k_V64ZcGx1Oc1rxyfcqyx9ESPNO9g5-Q_oAW4XWh3tSx3IOvZklVC-KxqVAZNCAVcLkRw5Xk3LrU03l6BfeFh2sGi5MWqt2YCDcMfMtRnN0QJBy7FblRwAtaw_yNf7Ta8nFsTAR5kDp7ewjOd0YqVo-oNOi2wGScadvogFjycGsAsr5zfErlxMLw_2KoBFrfScO324RRzzS8mK8KxbB-S3sr2KF7GQWWxgd12Gg_KOLjQ3-GVfw8PnDTPVqR4u1O2dRuG1RDFWRz7tI0qroeTj7-f0tThqfF6kjf-VPt3oP90qgt3BhDSSCvkAHhp-ANCA-GCiygrpra6j9hfbgWsrlkHe-DxsVaGEqGYXKk_P65jeLxtkx5Ej9hP2xWAC4ktKoXajFbI0V1TItWAxLHLyEXYAAm9oNfjA_ETERkRxOUU0gJSpp_3FR2mN6jmW161PLtQZV0tx2nwZtdWJb4nmRJNxXW4yIlI74tiAUMFzMWcCccjNlSdmMeFMp1Tf4mGmKRFf7DwIoj4OVCutFd_jMWqgoYiR4yNk3etp-E7i2NPynDjvKR1VpZZoRLjyhrySyv7yB1pJ9Sd2y6znpb_fqqKC6mnKTiMeBO41_oxMmz4P-O2d6YCFsikgcjFGAb91HOnIGbjbCaGDZthiktE1bCqNbE7DdfR5qqjOmvBXjnSSlRm6Zz_-Fww003LfaXa39hYnzeXbxnuJiaxci_iZVJPRkgajWpmlv20_t_Ww-fmx81y-q5tuiX8ix1uoCvgNeksDSvFxC-zrvM68NQK2y0tUf1c5t9mRI8tLu8hLKz69xtPg&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=5,25%,Đã bán 5k+,55
"[HAPPY TẾT] Serum Dưỡng Da Là S Beauty Hit - PROJECT V - Tái tạo da, Chống khô da và mất nước (30ml) - Xuất xứ Thụy Sĩ, Hàng Chính Hãng",990000,https://tiki.vn/happy-tet-serum-duong-da-la-s-beauty-hit-project-v-tai-tao-da-chong-kho-da-va-mat-nuoc-30ml-xuat-xu-thuy-si-hang-chinh-hang-p274100194.html?spid=274100195,49%,Đã bán 690,56
VITAMIN COMPLEX 8.0 % OHUI THE FIRST GENITURE GRNUMMUNE AMPOULE – TINH CHẤT tái sinh The First mới ra,990000,https://tiki.vn/vitamin-complex-8-0-ohui-the-first-geniture-grnummune-ampoule-tinh-chat-tai-sinh-the-first-moi-ra-p274098138.html?spid=274098139,0%,Đã bán 5k+,57
Set dưỡng trẻ hóa da Whoo hoàn lưu mini 3sp mới,790000,https://tiki.vn/set-duong-tre-hoa-da-whoo-hoan-luu-mini-3sp-moi-p274098126.html?spid=274098131,0%,Đã bán 48,58
Nước Tẩy trang sum tặng rửa mặt 100ml,650000,https://tiki.vn/nuoc-tay-trang-sum-tang-rua-mat-100ml-p274097828.html?spid=274097829,0%,Đã bán 130,59
"Tinh Chất Dưỡng Trắng Da Ban Ngày, Chống Nắng, Cải Thiện Da Khô Sạm SokaMocka Nhật Bản Chai 25ml",789000,https://tiki.vn/tinh-chat-duong-trang-da-ban-ngay-chong-nang-cai-thien-da-kho-sam-sokamocka-nhat-ban-chai-25ml-p273573321.html?spid=273573322,0%,Đã bán 260,60
